Gene,Reaction1,Reaction2,Reaction3,Reaction4,Reaction5,Reaction6,Reaction7,Reaction8,Reaction9,Reaction10,Reaction11,Reaction12,Reaction13
Glb1l,Glycosphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cds1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cpa5,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Setmar,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dhcr24,Cholesterol metabolism,Squalene and cholesterol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pik3cb,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ppa2,Oxidative phosphorylation,Purine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Glt8d2,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v1e2,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Etnk1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufs7,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kmt2b,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Phpt1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Prps1l1,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Oplah,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox8c,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fabp12,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpx6,Arachidonic acid metabolism,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fpgt,Fructose and mannose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acyp2,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fggy,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gns,Heparan sulfate degradation,Keratan sulfate degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pank1,CoA synthesis,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc10a6,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plppr5,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Agmat,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cant1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ganc,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Oga,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lpo,Androgen and estrogen synthesis and metabolism,Miscellaneous,Phenylalanine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adhfe1,Eicosanoid metabolism,Glycolysis/gluconeogenesis,Leukotriene metabolism,Miscellaneous,Pyruvate metabolism,Tyrosine metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  
Grhpr,Glyoxylate and dicarboxylate metabolism,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc38a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fads1,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpt,Citric acid cycle,Glutamate metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc24a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcc3,Bile acid synthesis,Drug metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lhpp,Oxidative phosphorylation,Purine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car12,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Glt8d1,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ip6k2,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aoc1,Arginine and proline metabolism,Beta-Alanine metabolism,Histidine metabolism,Methionine and cysteine metabolism,Phenylalanine metabolism,Tryptophan metabolism,Tyrosine metabolism,Urea cycle,  ,  ,  ,  ,  
Upp2,Nucleotide interconversion,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mdh1b,Citric acid cycle,Methionine and cysteine metabolism,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Spcs3,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ckmt2,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Alpi,Tetrahydrobiopterin metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cers2,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3gat1,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nt5c2,NAD metabolism,Nucleotide interconversion,Purine catabolism,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Chst1,Keratan sulfate synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc9a8,"Transport, golgi apparatus",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mtmr2,Inositol phosphate metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Akr1c21,Androgen and estrogen synthesis and metabolism,Propanoate metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Agl,Miscellaneous,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Smpd4,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ehmt1,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh12,Propanoate metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mccc2,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cpt1c,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox7b2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufv3,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde6h,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Csgalnact2,Chondroitin synthesis,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galnt15,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ak7,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a12,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aacs,Cholesterol metabolism,Glycolysis/gluconeogenesis,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nadsyn1,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dlst,Citric acid cycle,Lysine metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chsy3,Chondroitin synthesis,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Srd5a1,Androgen and estrogen synthesis and metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pigt,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nme3,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lrat,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tusc3,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Wwox,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc19a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc16a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abo,Blood group synthesis,Glycosphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acox3,Bile acid synthesis,Fatty acid oxidation,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uck2,Nucleotide interconversion,Purine synthesis,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sgpp1,Inositol phosphate metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chia1,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp4x1,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndst3,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sacm1l,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tktl1,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Elovl4,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Akr1c6,Androgen and estrogen synthesis and metabolism,Bile acid synthesis,Propanoate metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a2,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pi4k2a,Glycerophospholipid metabolism,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Setdb1,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox4i2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Glce,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Glrx,Vitamin C metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acox2,Bile acid synthesis,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Echs1,Fatty acid oxidation,Fatty acid synthesis,Miscellaneous,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  
Cers1,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3galt5,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acsbg1,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nans,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
C1galt1,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugt2a1,Bile acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Srd5a2,Androgen and estrogen synthesis and metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc4a10,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc24a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugt1a6a,Drug metabolism,Steroid metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Loxl2,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ptges2,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hadha,Drug metabolism,Fatty acid oxidation,Fatty acid synthesis,Miscellaneous,Steroid metabolism,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  
Mtmr14,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3gnt9,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3galnt2,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kmo,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lbr,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp1a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh10,Propanoate metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Duox1,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dpyd,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cept1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pafah2,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
H6pd,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugt2b38,Bile acid synthesis,Drug metabolism,Steroid metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Psph,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acacb,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugt2b34,Bile acid synthesis,Drug metabolism,Steroid metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Chpf2,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slco2b1,Drug metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Inpp5f,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd3b7,Bile acid synthesis,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acp7,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpat4,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp4v3,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Xylb,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a13,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acad11,Butanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a20a,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a8,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh9,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Upb1,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fig4,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nt5dc3,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pnpo,Vitamin B6 metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nt5m,Inositol phosphate metabolism,Nucleotide interconversion,Purine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gck,Aminosugar metabolism,Fructose and mannose metabolism,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Synj1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp27a1,Bile acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adcy4,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adcy3,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acly,Citric acid cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufb11,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ces1d,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gldc,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a5,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dgkz,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pld4,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh6a1,Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,Pyruvate metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  
Aspg,Alanine and aspartate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adi1,Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh14,Propanoate metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc9a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Akr1c18,Androgen and estrogen synthesis and metabolism,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc17a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gmpr2,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Thtpa,Thiamine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc38a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc51a,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tecr,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ldhal6b,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Methionine and cysteine metabolism,Propanoate metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  
Ppcs,CoA synthesis,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp4f15,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cholesterol metabolism,Eicosanoid metabolism,Leukotriene metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  
Me2,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Glyat,"Glycine, serine, alanine, and threonine metabolism",Phenylalanine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Carns1,Beta-Alanine metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Psat1,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acaca,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nt5c3,NAD metabolism,Nucleotide interconversion,Purine catabolism,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Dio3,Phenylalanine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh1,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Asmt,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pi4kb,Glycerophospholipid metabolism,Inositol phosphate metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uap1,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc12a6,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh1l1,Fatty acid oxidation,Folate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Haao,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nsd2,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cth,Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mthfs,Folate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mgat5,N-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Shmt2,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc14a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pip4k2b,Glycerophospholipid metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slco1a5,Drug metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3gnt5,Blood group synthesis,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a7,Drug metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slco4a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slco3a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atic,Purine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galnt2,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galnt7,O-glycan metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ogt,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mthfd1,Folate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mat2b,Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v1h,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpt2,Citric acid cycle,Glutamate metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh13,Propanoate metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B4gat1,Glycosphingolipid metabolism,Keratan sulfate synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mmaa,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Me3,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc5a10,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acy1,Methionine and cysteine metabolism,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ampd2,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hyal3,Hyaluronan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cpa1,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Maob,Arginine and proline metabolism,Histidine metabolism,Phenylalanine metabolism,Tryptophan metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  
Cyb5r3,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Blvra,Heme degradation,Heme synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pgm3,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Clps,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Glo1,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cbr3,Arachidonic acid metabolism,Eicosanoid metabolism,Leukotriene metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Asl,Alanine and aspartate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Amy2a5,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gusb,Chondroitin sulfate degradation,Drug metabolism,Heparan sulfate degradation,Hyaluronan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Dut,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pygb,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pygl,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp11b1,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mpi,Fructose and mannose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ehmt2,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Manba,N-glycan degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ggct,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fdps,Cholesterol metabolism,N-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dgkg,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Akr7a5,Fructose and mannose metabolism,Pentose phosphate pathway,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pgd,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox6b1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde4c,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Qdpr,Tetrahydrobiopterin metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pigh,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acat1,Propanoate metabolism,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
