mets,mets_name,genes,rxns,subsystems
,,,r1922,"Transport, extracellular"
,,,r0841,"Transport, endoplasmic reticular"
,,,r2272,"Transport, extracellular"
,,,r2413,"Transport, mitochondrial"
,,,LAPCOAl,CoA catabolism
,,,r1627,"Transport, extracellular"
,,,DNADDP,NAD metabolism
,,,r1637,"Transport, extracellular"
,,,C05953tm,"Transport, mitochondrial"
,,,DHAOX_c,Vitamin C metabolism
,,,3SPYRSPm,Methionine and cysteine metabolism
,,,r1799,"Transport, extracellular"
,,,H2O2tm,"Transport, mitochondrial"
,,,SERGLYexR,"Transport, extracellular"
,,,r2040,"Transport, extracellular"
,,,PCHOLN19_HSt1e,"Transport, extracellular"
,,,AK2LGCHOLt,"Transport, extracellular"
,,,ECOAH4p,Fatty acid oxidation
,,,C05463t2,"Transport, extracellular"
,,,r0931,"Transport, endoplasmic reticular"
,,,HSD3A1r,Steroid metabolism
,,,METB0AT3tc,"Transport, extracellular"
,,,SERD_L,Methionine and cysteine metabolism
,,,FAOXC10080x,Fatty acid oxidation
,,,HMR_3021,"Transport, peroxisomal"
,,,DTTPtm_cho,"Transport, mitochondrial"
,,,CYSSNAT5tc,"Transport, extracellular"
,,,EX_pcholn224_hs_e,Exchange/demand reaction
,,,HMR_0344,"Transport, extracellular"
,,,HMR_7199,"Transport, lysosomal"
,,,3DHCHOLt2,"Transport, extracellular"
,,,r2018,"Transport, extracellular"
,,,CREATt4_2_r,"Transport, extracellular"
,,,r1867,"Transport, extracellular"
,,,RETH2,Vitamin A metabolism
,,,HMR_1085,Leukotriene metabolism
,,,HYOCHOLt,"Transport, extracellular"
,,,SMVHYDROhep,Drug metabolism
,,,PCHOLN204_HSt1e,"Transport, extracellular"
,,,DCYTt,"Transport, extracellular"
,,,GluForTx,Histidine metabolism
,,,EX_5dhf_e,Exchange/demand reaction
,,,ILETA,"Valine, leucine, and isoleucine metabolism"
,,,EX_pcholn281_hs_e,Exchange/demand reaction
,,,r2027,"Transport, extracellular"
,,,RE1096C,Steroid metabolism
,,,DNDPt30m,"Transport, mitochondrial"
,,,r0179,Glutamate metabolism
,,,r0630,Bile acid synthesis
,,,FAOXC61C4x,Fatty acid oxidation
,,,HMR_1781,Bile acid synthesis
,,,CITt4_2,"Transport, extracellular"
,,,4HATVLAChc,Drug metabolism
,,,ETOHtx,"Transport, peroxisomal"
,,,EX_pcholn1836_hs_e,Exchange/demand reaction
,,,ADNt5,"Transport, extracellular"
,,,HSD17B3r,Steroid metabolism
,,,CYTDn,Nucleotide interconversion
,,,r2169,"Transport, extracellular"
,,,FACOAL200,Fatty acid oxidation
,,,HMR_0384,"Transport, extracellular"
,,,FAOXC16080m,Fatty acid oxidation
,,,CHOLt4,"Transport, extracellular"
,,,r1924,"Transport, extracellular"
,,,r1847,"Transport, extracellular"
,,,EX_6thf_e,Exchange/demand reaction
,,,NADQNOXR,Tyrosine metabolism
,,,GLYSNAT5tc,"Transport, extracellular"
,,,5AOPt,"Transport, extracellular"
,,,r1752,"Transport, extracellular"
,,,ACOAO7p,Fatty acid oxidation
,,,r2514e,"Transport, extracellular"
,,,GLYCLTDy,Glyoxylate and dicarboxylate metabolism
,,,CYSGLUexR,"Transport, extracellular"
,,,HSD3B11r,Steroid metabolism
,,,PCHOLAR_HSt1e,"Transport, extracellular"
,,,PSSA2_hs,Glycerophospholipid metabolism
,,,NH4tr,"Transport, endoplasmic reticular"
,,,r1786,"Transport, extracellular"
,,,r1831,"Transport, extracellular"
,,,SK_Ser_Gly_Ala_X_Gly_r,Exchange/demand reaction
,,,r2036,"Transport, extracellular"
,,,G5SADrm,Arginine and proline metabolism
,,,HMR_2651,Fatty acid oxidation
,,,r0961,"Transport, extracellular"
,,,PAIL_HStn,"Transport, nuclear"
,,,GPDDACHOL,Glycerophospholipid metabolism
,,,C02712tm,"Transport, mitochondrial"
,,,STS2r,Steroid metabolism
,,,PTDCAt,"Transport, extracellular"
,,,r1588,"Transport, extracellular"
,,,DM_dttp_n,Exchange/demand reaction
,,,DCHOLESTANCOAc,Bile acid synthesis
,,,UDPGNP,Pentose phosphate pathway
,,,RSVhc,Drug metabolism
,,,CITt2r,"Transport, extracellular"
,,,SMVGLUCLAChep,Drug metabolism
,,,r1879,"Transport, extracellular"
,,,FVShc,Drug metabolism
,,,PTVSTGLUChc,Drug metabolism
,,,TMDPK,Thiamine metabolism
,,,PUNP2,Purine catabolism
,,,r2280,"Transport, extracellular"
,,,ARGt4,"Transport, extracellular"
,,,NDP1,Purine catabolism
,,,R03184_PLUS_R00647,
,,,r1914,"Transport, extracellular"
,,,LINOFATPtc,"Transport, extracellular"
,,,FALDtm,"Transport, mitochondrial"
,,,HACD1m,Tryptophan metabolism
,,,r1598,"Transport, extracellular"
,,,FOLt2,"Transport, extracellular"
,,,PAILPALM_HSSECt,"Transport, extracellular"
,,,LNELDCCRNte,"Transport, extracellular"
,,,FACOAL260,Fatty acid oxidation
,,,r1693,"Transport, extracellular"
,,,DNDPt2m,"Transport, mitochondrial"
,,,ASNALANaEx,"Transport, extracellular"
,,,r1304,"Transport, lysosomal"
,,,3ISPVShc,Drug metabolism
,,,CBPSam,Glutamate metabolism
,,,r0826,"Transport, endoplasmic reticular"
,,,EX_M00003_e,Exchange/demand reaction
,,,r2051,"Transport, extracellular"
,,,VALt4,"Transport, extracellular"
,,,r2054,"Transport, extracellular"
,,,2OXOADOXm,Lysine metabolism
,,,HMR_9604,"Transport, extracellular"
,,,EX_ac_e,Exchange/demand reaction
,,,SPHMYLN18121_hs_SECt,"Transport, extracellular"
,,,DNDPt20m,"Transport, mitochondrial"
,,,GLNtm,"Transport, mitochondrial"
,,,r2184,"Transport, extracellular"
,,,BAAT2x,Bile acid synthesis
,,,URCN,Histidine metabolism
,,,QUILSYN,Tryptophan metabolism
,,,r0730,Fatty acid oxidation
,,,DNDPt21m,"Transport, mitochondrial"
,,,HMR_3855,Pyruvate metabolism
,,,r1579,"Transport, extracellular"
,,,FVSGLUChc,Drug metabolism
,,,r2192,"Transport, extracellular"
,,,LEUKTRB4WOHtr,"Transport, extracellular"
,,,P45027A1m,Bile acid synthesis
,,,EX_M00008_e,Exchange/demand reaction
,,,FAOXC160140m,Fatty acid oxidation
,,,PGLYCtm,"Transport, mitochondrial"
,,,HSD3B13r,Steroid metabolism
,,,ACMPGLUtep,Drug metabolism
,,,VACCt,"Transport, extracellular"
,,,DM_dgtp_m,Exchange/demand reaction
,,,r0611,Miscellaneous
,,,HEXCOAACBP,Fatty acid oxidation
,,,r1919,"Transport, extracellular"
,,,PUNP6,Purine catabolism
,,,r2333,"Transport, extracellular"
,,,HMR_0771,"Transport, endoplasmic reticular"
,,,GM1tl,"Transport, extracellular"
,,,KYN3OX,Tryptophan metabolism
,,,r1857,"Transport, extracellular"
,,,FAOXC1811601m,Fatty acid oxidation
,,,r0440,Fatty acid oxidation
,,,GF6PTA,Aminosugar metabolism
,,,EX_dhdascb_e,Exchange/demand reaction
,,,r1675,"Transport, extracellular"
,,,B3GNT39g,Sphingolipid metabolism
,,,3MHISt3,"Transport, extracellular"
,,,RE1796M,Bile acid synthesis
,,,r1548,"Transport, extracellular"
,,,HMR_0257,"Transport, extracellular"
,,,BPNT2,Nucleotide interconversion
,,,O2Stx,"Transport, peroxisomal"
,,,XAO2,Nucleotide interconversion
,,,RE1826C,Bile acid synthesis
,,,HMR_3056,Fatty acid oxidation
,,,r2201,"Transport, extracellular"
,,,r2506,"Transport, endoplasmic reticular"
,,,DOCOSCOAtxc,"Transport, peroxisomal"
,,,EX_pnto__R_e,Exchange/demand reaction
,,,r1936,"Transport, extracellular"
,,,r2233,"Transport, extracellular"
,,,r1006,"Transport, peroxisomal"
,,,r2511,"Transport, endoplasmic reticular"
,,,r2031,"Transport, extracellular"
,,,HMR_3341,Fatty acid oxidation
,,,r2145,"Transport, extracellular"
,,,HDCAter,"Transport, endoplasmic reticular"
,,,10FTHF6GLUtm,"Transport, mitochondrial"
,,,DCYTD,Pyrimidine catabolism
,,,r1944,"Transport, extracellular"
,,,MMCDm,"Valine, leucine, and isoleucine metabolism"
,,,r1982,"Transport, extracellular"
,,,r2485,"Transport, extracellular"
,,,PRGNLONEtr,"Transport, endoplasmic reticular"
,,,ATVLACtu,Drug metabolism
,,,MLTHFtm,"Transport, mitochondrial"
,,,FAS160COA,Fatty acid synthesis
,,,PALFATPtc,"Transport, extracellular"
,,,r1029,"Transport, extracellular"
,,,FAOXC182806m,Fatty acid oxidation
,,,r0892,"Transport, extracellular"
,,,EX_M00315_e,Exchange/demand reaction
,,,UDPGLDCg,Nucleotide sugar metabolism
,,,FAOXC15BRC13BRx,Fatty acid oxidation
,,,r0517,Miscellaneous
,,,LTD4DP,Eicosanoid metabolism
,,,NH4t3r,"Transport, extracellular"
,,,HSD17B2r,Steroid metabolism
,,,r1608,"Transport, extracellular"
,,,SK_mi134p_c,Exchange/demand reaction
,,,HMR_9680,"Transport, peroxisomal"
,,,DHEASABCCte,"Transport, extracellular"
,,,EX_4hpro_LT_e,Exchange/demand reaction
,,,EX_pe12_hs_e,Exchange/demand reaction
,,,DM_dopa_c,Exchange/demand reaction
,,,SK_lnlc_c,Exchange/demand reaction
,,,CAT2p,Glycolysis/gluconeogenesis
,,,PUNP1,Nucleotide interconversion
,,,MOGAT,Triacylglycerol synthesis
,,,TDCA3Sabc,"Transport, extracellular"
,,,HMR_0288,"Transport, extracellular"
,,,DSMSTOLR,Cholesterol metabolism
,,,EX_thymd_e,Exchange/demand reaction
,,,SGPL12r,Sphingolipid metabolism
,,,6EPVStep,Drug metabolism
,,,2HATVACIDhc,Drug metabolism
,,,r2306,"Transport, extracellular"
,,,r1760,"Transport, extracellular"
,,,RE3437C,Eicosanoid metabolism
,,,RE0908C,Tyrosine metabolism
,,,PIt2r,"Transport, extracellular"
,,,r1776,"Transport, extracellular"
,,,TSTSTERONEtr,"Transport, endoplasmic reticular"
,,,r2250,"Transport, extracellular"
,,,r0082,Miscellaneous
,,,HMR_0418,Fatty acid oxidation
,,,CE2513ATP,"Transport, extracellular"
,,,FAOXC16180m,Fatty acid oxidation
,,,TMDK1m,Nucleotide interconversion
,,,r2196,"Transport, extracellular"
,,,r1701,"Transport, extracellular"
,,,r2047,"Transport, extracellular"
,,,r2341,"Transport, extracellular"
,,,GUDCA3Sabc,"Transport, extracellular"
,,,r0465_1,Miscellaneous
,,,HMR_1944,Androgen and estrogen synthesis and metabolism
,,,r2307,"Transport, extracellular"
,,,r2363,"Transport, extracellular"
,,,TAUBETAtc,"Transport, extracellular"
,,,r2419,"Transport, mitochondrial"
,,,GPDDA1,Glycerophospholipid metabolism
,,,EX_ile__L_e,Exchange/demand reaction
,,,HMR_0280,Fatty acid oxidation
,,,FACOAL1822,Fatty acid oxidation
,,,r2322,"Transport, extracellular"
,,,FEROc,Vitamin B2 metabolism
,,,5MTHFt2_1,"Transport, extracellular"
,,,PTRCtex2,"Transport, extracellular"
,,,DM_btn_n,Exchange/demand reaction
,,,TRDR2,Miscellaneous
,,,HMR_0239,"Transport, extracellular"
,,,r1928,"Transport, extracellular"
,,,HMR_1771,Bile acid synthesis
,,,r1821,"Transport, extracellular"
,,,r1565,"Transport, extracellular"
,,,PCHOLN261_HSte,"Transport, extracellular"
,,,r2335,"Transport, extracellular"
,,,r1498,"Transport, extracellular"
,,,r0525,Lysine metabolism
,,,NADS2,NAD metabolism
,,,EX_Rtotal2_e,Exchange/demand reaction
,,,r0510,Miscellaneous
,,,FAOXC180,Fatty acid oxidation
,,,HMR_7755,Glycerophospholipid metabolism
,,,ACOAD10m,"Valine, leucine, and isoleucine metabolism"
,,,PE_HStm,"Transport, mitochondrial"
,,,r0714_1,Fatty acid oxidation
,,,RE3251M,Bile acid synthesis
,,,r1318,"Transport, endoplasmic reticular"
,,,LALDO2,Pyruvate metabolism
,,,r1938,"Transport, extracellular"
,,,thr_mt,"Transport, mitochondrial"
,,,r2172,"Transport, extracellular"
,,,MECOAS1m,C5-branched dibasic acid metabolism
,,,HMR_4964,"Transport, mitochondrial"
,,,PHEt4,"Transport, extracellular"
,,,SERTHRNaEx,"Transport, extracellular"
,,,DCMPDA,Pyrimidine catabolism
,,,RE2814R,Bile acid synthesis
,,,GLCMter,"Transport, extracellular"
,,,HIStN1,"Transport, extracellular"
,,,r1292,"Transport, peroxisomal"
,,,r2245,"Transport, extracellular"
,,,r2315,"Transport, extracellular"
,,,34DHPHEt,"Transport, extracellular"
,,,PROSTGE2t3,"Transport, extracellular"
,,,r2405,"Transport, mitochondrial"
,,,SK_tag_hs_c,Exchange/demand reaction
,,,DOPAENT4tc,"Transport, extracellular"
,,,HIBDm,"Valine, leucine, and isoleucine metabolism"
,,,EX_gmp_e,Exchange/demand reaction
,,,SO4t_e,"Transport, extracellular"
,,,GMPS,Bile acid synthesis
,,,r1456,"Transport, mitochondrial"
,,,EX_pa_hs_e,Exchange/demand reaction
,,,r0881,"Transport, extracellular"
,,,r1836,"Transport, extracellular"
,,,r2332,"Transport, extracellular"
,,,DUTPDP,Pyrimidine catabolism
,,,HMR_0325,"Transport, extracellular"
,,,EX_pe13_hs_e,Exchange/demand reaction
,,,r1591,"Transport, extracellular"
,,,r2026,"Transport, extracellular"
,,,GLYK,Glycerophospholipid metabolism
,,,ICDHyr,Citric acid cycle
,,,FRDPtr,"Transport, peroxisomal"
,,,UROLACer,Vitamin C metabolism
,,,PAIL4P_HStn,"Transport, nuclear"
,,,r1717,"Transport, extracellular"
,,,SK_dhcholestanate_c,Exchange/demand reaction
,,,r0839,"Transport, extracellular"
,,,GLUt4,"Transport, extracellular"
,,,7KILTCHOLt,"Transport, extracellular"
,,,r0921,"Transport, mitochondrial"
,,,ARGLYSex,"Transport, extracellular"
,,,r1540,"Transport, extracellular"
,,,PI45P5Pn,Inositol phosphate metabolism
,,,NADtru,"Transport, endoplasmic reticular"
,,,FAOXC2242046m,Fatty acid oxidation
,,,r1960,"Transport, extracellular"
,,,PE14_HSt1e,"Transport, extracellular"
,,,HMR_1329,Eicosanoid metabolism
,,,RE1835C,Bile acid synthesis
,,,NADDP,NAD metabolism
,,,FUMtm,"Transport, mitochondrial"
,,,VALPHELAT2tc,"Transport, extracellular"
,,,AASAD3m,Lysine metabolism
,,,SK_citr__L_c,Exchange/demand reaction
,,,FAOXC160,Fatty acid oxidation
,,,CYSGLYex,"Transport, extracellular"
,,,3SALAASPm,"Transport, mitochondrial"
,,,ACMPthc,Drug metabolism
,,,FAOXC2251836x,Fatty acid oxidation
,,,HMR_0426,Fatty acid oxidation
,,,r0409,Miscellaneous
,,,r1559,"Transport, extracellular"
,,,RNTR3,Nucleotide interconversion
,,,SUCCACT,Fatty acid oxidation
,,,r1721,"Transport, extracellular"
,,,HMR_0358,Fatty acid oxidation
,,,HMR_3996,Methionine and cysteine metabolism
,,,r2513,"Transport, endoplasmic reticular"
,,,ILEtec,"Transport, extracellular"
,,,r2483,"Transport, extracellular"
,,,UDPGP,Starch and sucrose metabolism
,,,SK_tyr__L_c,Exchange/demand reaction
,,,SPRMS,Urea cycle
,,,HMR_0815,Glycosphingolipid metabolism
,,,GRTT,Cholesterol metabolism
,,,r0753,Miscellaneous
,,,r2278,"Transport, extracellular"
,,,DPCOAPP,CoA synthesis
,,,ACMPGLUthc,Drug metabolism
,,,ADPT,Nucleotide salvage pathway
,,,HSD17B8r,Steroid metabolism
,,,r1519,"Transport, extracellular"
,,,DHFRim,Folate metabolism
,,,r1972,"Transport, extracellular"
,,,NH4tm,"Transport, mitochondrial"
,,,ELAIDt,"Transport, extracellular"
,,,MLTHFte3,"Transport, extracellular"
,,,ALDD19x_P,Phenylalanine metabolism
,,,HMR_1767,Bile acid synthesis
,,,HISyLATthc,"Transport, extracellular"
,,,ALA_DTDe,"Transport, extracellular"
,,,GBSIDEtl,"Transport, lysosomal"
,,,HMR_7944,"Transport, endoplasmic reticular"
,,,PCHOLN2254_HSt1e,"Transport, extracellular"
,,,ESTRONESt2,"Transport, extracellular"
,,,DM_4abut_c,Exchange/demand reaction
,,,HMR_9612,"Transport, extracellular"
,,,3MOXTYRESSte,"Transport, extracellular"
,,,URIDK2r,Nucleotide interconversion
,,,r2155,"Transport, extracellular"
,,,r2136,"Transport, extracellular"
,,,FAOXC200180m,Fatty acid oxidation
,,,FAOXC11C9m,Fatty acid oxidation
,,,PE2LINL_HSt1e,"Transport, extracellular"
,,,r2352,"Transport, extracellular"
,,,HMR_3337,Fatty acid oxidation
,,,HSD3B2r,Steroid metabolism
,,,CYTK3,Nucleotide interconversion
,,,3HPVStep,Drug metabolism
,,,r1662,"Transport, extracellular"
,,,r2320,"Transport, extracellular"
,,,r1932,"Transport, extracellular"
,,,r2022,"Transport, extracellular"
,,,r1966,"Transport, extracellular"
,,,6DHFtm,"Transport, mitochondrial"
,,,GLCAE2g,Chondroitin synthesis
,,,r2491,"Transport, extracellular"
,,,MMMm,"Valine, leucine, and isoleucine metabolism"
,,,ANDRSTRNtr,"Transport, endoplasmic reticular"
,,,TRIOK,Fructose and mannose metabolism
,,,PEROXx,Fatty acid oxidation
,,,LNLNCGt,"Transport, extracellular"
,,,SPHMYLN_HsSECt,"Transport, extracellular"
,,,FATP9t,"Transport, extracellular"
,,,r1901,"Transport, extracellular"
,,,ALAGLNexR,"Transport, extracellular"
,,,7THFtm,"Transport, mitochondrial"
,,,ALCD2x,Glycolysis/gluconeogenesis
,,,r2444,"Transport, extracellular"
,,,r1739,"Transport, extracellular"
,,,CDPDAGtm,"Transport, mitochondrial"
,,,EX_utp_e,Exchange/demand reaction
,,,HMR_3018,"Transport, peroxisomal"
,,,r2021,"Transport, extracellular"
,,,r2295,"Transport, extracellular"
,,,ICDHyp,Citric acid cycle
,,,EX_M03045_e,Exchange/demand reaction
,,,HMR_0383,"Transport, extracellular"
,,,KYNAKGAT,Tryptophan metabolism
,,,r1759,"Transport, extracellular"
,,,HMR_0304,"Transport, extracellular"
,,,r1764,"Transport, extracellular"
,,,EX_M02451_e,Exchange/demand reaction
,,,r0842,"Transport, endoplasmic reticular"
,,,GUR1PP,Pentose phosphate pathway
,,,HYPTROX_cho,Taurine and hypotaurine metabolism
,,,GCDCA3Sabc,"Transport, extracellular"
,,,STS2,Steroid metabolism
,,,FATP4t,"Transport, extracellular"
,,,GABABGTtc,"Transport, extracellular"
,,,FACOAL203,Fatty acid oxidation
,,,7KILTCHOLATP,"Transport, extracellular"
,,,FAOXC1811603m,Fatty acid oxidation
,,,NAtx,"Transport, peroxisomal"
,,,SPHMYLN18116_hs_SECt,"Transport, extracellular"
,,,PMI12346PH,Inositol phosphate metabolism
,,,ATPM,
,,,HMGCOAS,Cholesterol metabolism
,,,RE0918C,Tyrosine metabolism
,,,GBAl,Sphingolipid metabolism
,,,FACOAL205,Fatty acid oxidation
,,,O2Stm,"Transport, mitochondrial"
,,,DNDPt47m,"Transport, mitochondrial"
,,,HMR_0827,Glycosphingolipid metabolism
,,,CYSTHRNaEx,"Transport, extracellular"
,,,ADD,Purine catabolism
,,,HMR_1685,Bile acid synthesis
,,,HACD6p,Fatty acid oxidation
,,,PPAn,Miscellaneous
,,,r1532_1,"Transport, extracellular"
,,,r1899,"Transport, extracellular"
,,,r1378,Miscellaneous
,,,HMR_7198,"Transport, lysosomal"
,,,C04483t1,"Transport, extracellular"
,,,EX_ascb__L_e,Exchange/demand reaction
,,,r1806,"Transport, extracellular"
,,,ILETAm,"Valine, leucine, and isoleucine metabolism"
,,,r0946,"Transport, extracellular"
,,,PI3PP,Phosphatidylinositol phosphate metabolism
,,,r2534,"Transport, extracellular"
,,,MCDm,Fatty acid oxidation
,,,r2230,"Transport, extracellular"
,,,PIPLCn,Inositol phosphate metabolism
,,,HMR_3333,Fatty acid oxidation
,,,r2279,"Transport, extracellular"
,,,ACACT5p,Fatty acid oxidation
,,,SRTNt6_2_r,"Transport, extracellular"
,,,PNTOt5,"Transport, extracellular"
,,,r1790,"Transport, extracellular"
,,,r1832,"Transport, extracellular"
,,,P45027A13m,Bile acid synthesis
,,,MALSO4tm,"Transport, mitochondrial"
,,,HMR_0191,"Transport, extracellular"
,,,10FTHF6GLUtl,"Transport, lysosomal"
,,,RE3526C,Arachidonic acid metabolism
,,,EX_vacc_e,Exchange/demand reaction
,,,DOPAt4_2_r,"Transport, extracellular"
,,,EX_pchol2ole_hs_e,Exchange/demand reaction
,,,AM6SAD,Tryptophan metabolism
,,,RE0577C,Fatty acid synthesis
,,,GLNt4,"Transport, extracellular"
,,,TYRB0AT3tc,"Transport, extracellular"
,,,PROt4,"Transport, extracellular"
,,,r2318,"Transport, extracellular"
,,,OBDHc,"Glycine, serine, alanine, and threonine metabolism"
,,,PDXPP,Vitamin B6 metabolism
,,,r1005,"Transport, mitochondrial"
,,,HMR_0291,"Transport, extracellular"
,,,HMR_0432,"Transport, extracellular"
,,,FAOXC240200x_1,Fatty acid oxidation
,,,NTPP2,Purine catabolism
,,,SUCFUMtm,"Transport, mitochondrial"
,,,XOLTRIOLtm,"Transport, mitochondrial"
,,,r2205,"Transport, extracellular"
,,,C04805td,"Transport, extracellular"
,,,r2209,"Transport, extracellular"
,,,r0960,"Transport, endoplasmic reticular"
,,,ALOX52,Eicosanoid metabolism
,,,r2045,"Transport, extracellular"
,,,SK_mi145p_c,Exchange/demand reaction
,,,KYNATESYN,Tryptophan metabolism
,,,HEXDIACtd,"Transport, extracellular"
,,,2DR1PP,Pyrimidine catabolism
,,,HMR_3331,Fatty acid oxidation
,,,CLFORtex2,"Transport, extracellular"
,,,DESAT18_11,Fatty acid synthesis
,,,FAOXC170150m,Fatty acid oxidation
,,,EX_10fthf5glu_e,Exchange/demand reaction
,,,PI34P3Pn,Inositol phosphate metabolism
,,,IBUP_Stbc,Drug metabolism
,,,AHCYStr,"Transport, endoplasmic reticular"
,,,CHSTEROLt2,"Transport, mitochondrial"
,,,r0191,Fructose and mannose metabolism
,,,GCCbim,"Glycine, serine, alanine, and threonine metabolism"
,,,INSt5,"Transport, extracellular"
,,,HMR_0770,"Transport, extracellular"
,,,r2393,"Transport, mitochondrial"
,,,r2059,"Transport, extracellular"
,,,DNDPt10m,"Transport, mitochondrial"
,,,LNLCCRNtd,"Transport, extracellular"
,,,SK_trp__L_c,Exchange/demand reaction
,,,DODECANACt,"Transport, extracellular"
,,,CKc_cho,Urea cycle
,,,r1824,"Transport, extracellular"
,,,DNDPt48m,"Transport, mitochondrial"
,,,EX_thr__L_e,Exchange/demand reaction
,,,RE1903R,Vitamin A metabolism
,,,CYTK4,Nucleotide interconversion
,,,EX_pchol2ste_hs_e,Exchange/demand reaction
,,,HMR_0844,Glycosphingolipid metabolism
,,,FAOXC200180x,Fatty acid oxidation
,,,TALA,Pentose phosphate pathway
,,,DKMPPD3_1,Methionine and cysteine metabolism
,,,r1873,"Transport, extracellular"
,,,NORANMT,Tyrosine metabolism
,,,HMR_7756,Phenylalanine metabolism
,,,PEt,"Transport, extracellular"
,,,r0786,Sphingolipid metabolism
